AlternatePin	ADC/DAC	TIM1/8/9/10	TIM2/3/4/5	UART/USART	USB 	SYS 	I2C 	SPI/I2S	ETH 	FSMC/SDIO	DVP 	OPA 	CAN 
PA0 	ADC_IN0 	TIM8_ETR  	TIM2_CH1 	USART2_CTS 		WKUP 			ETH_MII_CRS  			0PA4_OUT0	
		TIM8_ETR_1 	TIM2_ETR  						ETH_RGMII_RXD2 				
			TIM2_CH1_2  										
			TIM2_ETR_2  										
			TIM5_CH1										
PA1 	ADC_1N1 		TIM2_CH2 	USART2_RTS					ETH_MII_RX_CLK ETH_RMII_REF_CLK ETH_RGMII_RXD3			OPA3_OUT0	
			TIM2_CH2_2  										
			TIM5_CH2  										
			TIM9_BKIN_1										
PA2 	ADC_IN2 	TIM9_CH1 	TIM2_CH3  	USART2_TX					ETH_MII_MDIO  ETH_RMII_MDIO ETH_RGMII_GTXC			OPA2_OUT0	
		TIM9_CH1_1  	TIM2_CH3_1  										
		TIM9_ETR  	TIM5_CH3 										
		TIM9_ETR_1											
PA3 	ADC_IN3 	TIM9_CH2  	TIM2_CH4 	USART2_RX 					ETH_MII_COL  			OPA1_OUT0	
		TIM9_CH2_1 	TIM2_CH4_1  						ETH_RGMII_TXEN 				
			TIM5_CH4										
PA4 	ADC_IN4  	TIM9_CH3  		USART2_CK				SPI1_NSS 			DVP_HSYNC		
	DAC1_OUT 	TIM9_CH3_1 						SPI3_NSS_1  					
								I2S3_WS_1					
PA5 	ADC_IN5 	TIM10_CH1N_1 		USART1_CTS_2 USART1_CK_3 				SPI1_SCK 			DVP_VSYNC 	OPA2_CH1N	
	DAC2_OUT 												
PA6 	ADC_IN6 	TIM1_BKIN_1 	TIM3_CH1 	USART1_TX_3 UART7_TX_1 				SPI1_MISO 			DVP_PCLK 	OPA1_CH1N	
		TIM8_BKIN  											
		TIM10_CH2N_1											
